Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Huddersfield,Chelsea,0,3,129609,13995,669,79,3171,124,Chelsea
18/08/2018,Chelsea,Arsenal,3,2,143974,9188,999,37,210,27,Chelsea
26/08/2018,Newcastle,Chelsea,1,2,196983,13294,884,73,692,137,Chelsea
01/09/2018,Chelsea,Bournemouth,2,0,256841,11863,1101,480,916,124,Chelsea
15/09/2018,Chelsea,Cardiff,4,1,75530,3355,310,25,219,39,Chelsea
23/09/2018,West Ham,Chelsea,0,0,61190,4774,293,13,194,11,Chelsea
29/09/2018,Chelsea,Liverpool,1,1,311479,47912,12937,162,2092,123,Chelsea
07/10/2018,Southampton,Chelsea,0,3,0,0,0,0,0,0,Chelsea
20/10/2018,Chelsea,Man United,2,2,0,0,0,0,0,0,Chelsea
28/10/2018,Burnley,Chelsea,0,4,0,0,0,0,0,0,Chelsea
04/11/2018,Chelsea,Crystal Palace,3,1,0,0,0,0,0,0,Chelsea
11/11/2018,Chelsea,Everton,0,0,34570,2734,283,10,116,16,Chelsea
24/11/2018,Tottenham,Chelsea,3,1,8170,1346,37,6,70,13,Chelsea
02/12/2018,Chelsea,Fulham,2,0,0,0,0,0,0,0,Chelsea
05/12/2018,Wolves,Chelsea,2,1,7734,982,52,5,29,6,Chelsea
08/12/2018,Chelsea,Man City,2,0,14580,1511,68,26,102,45,Chelsea
16/12/2018,Brighton,Chelsea,1,2,0,0,0,0,0,0,Chelsea
22/12/2018,Chelsea,Leicester,0,1,6576,808,27,3,36,10,Chelsea
26/12/2018,Watford,Chelsea,1,2,12808,1241,42,4,93,13,Chelsea
30/12/2018,Crystal Palace,Chelsea,0,1,6232,433,15,1,57,3,Chelsea
02/01/2019,Chelsea,Southampton,0,0,0,0,0,0,0,0,Chelsea
12/01/2019,Chelsea,Newcastle,2,1,0,0,0,0,0,0,Chelsea
19/01/2019,Arsenal,Chelsea,2,0,0,0,0,0,0,0,Chelsea
30/01/2019,Bournemouth,Chelsea,4,0,0,0,0,0,0,0,Chelsea
02/02/2019,Chelsea,Huddersfield,5,0,0,0,0,0,0,0,Chelsea
10/02/2019,Man City,Chelsea,6,0,10883,489,40,0,18,1,Chelsea
27/02/2019,Chelsea,Tottenham,2,0,35465,3599,122,80,317,335,Chelsea
03/03/2019,Fulham,Chelsea,1,2,28791,4271,118,51,302,73,Chelsea
10/03/2019,Chelsea,Wolves,1,1,143052,8317,661,38,2260,214,Chelsea
17/03/2019,Everton,Chelsea,2,0,50079,3311,248,362,562,1568,Chelsea
31/03/2019,Cardiff,Chelsea,1,2,0,0,0,0,0,0,Chelsea
03/04/2019,Chelsea,Brighton,3,0,0,0,0,0,0,0,Chelsea
08/04/2019,Chelsea,West Ham,2,0,0,0,0,0,0,0,Chelsea
14/04/2019,Liverpool,Chelsea,2,0,0,0,0,0,0,0,Chelsea
22/04/2019,Chelsea,Burnley,2,2,0,0,0,0,0,0,Chelsea
28/04/2019,Man United,Chelsea,1,1,0,0,0,0,0,0,Chelsea
05/05/2019,Chelsea,Watford,3,0,8067,450,119,1,7,1,Chelsea
12/05/2019,Leicester,Chelsea,0,0,85235,6084,327,1169,725,244,Chelsea
